country,condition,year,DALYS_RATE,DEATHS_RATE,INCIDENCE_RATE,PREVALENCE_RATE,YLDS_RATE,GDP_PC,POVERTY_HEADCOUNT,HEALTH_EXP_GDP,OOP_HEALTH_EXP,SECONDARY_ENROL,URBAN_POP,INTERNET_USERS,POP_65PLUS,LIBDEM
IND,Diabetes,2008,1162.025029428333,33.070346800789395,269.9482362735,5983.10656700979,454.50110338332,992.519584923828,,3.58856082,69.14794159,62.2119216918945,30.1438485921815,4.38,4.82207897305879,0.569
IND,Diabetes,2009,1189.91671797025,33.38601911390411,275.59242807645,6110.57835928097,467.93394693662,1094.94974598436,29.8,3.54637694,66.75775146,61.3603210449219,30.5185314023263,5.12,4.87809420851412,0.539
IND,Diabetes,2010,1223.313462312291,34.077983321468096,281.66312864226,6241.9253443937405,481.83267295638007,1347.51939071367,,3.33625913,65.18476868,64.9475936889648,30.9042190810094,7.5,4.94044719106105,0.532
IND,Diabetes,2011,1254.929197924093,34.64835894808182,289.82343477911,6418.807298970861,501.14498134566,1445.46127486037,21.9,3.24634218,62.22489929,67.1251678466797,31.2746502853309,10.07,5.0124057389161,0.532
IND,Diabetes,2012,1289.454025470375,35.373700578298404,300.62670071911003,6656.256678419941,527.88249790406,1429.32199520032,,3.32935286,63.00013733,69.8089599609375,31.5898935604399,11.10000038,5.09338826047327,0.525
IND,Diabetes,2013,1348.863784162536,37.90881792193796,312.27746169042996,6906.83666358787,555.99164806078,1432.84397512195,,3.74944186,69.07303619,69.4771270751953,31.9096789235237,12.30000019,5.18262772655076,0.522
IND,Diabetes,2014,1398.6090794782842,39.99090645798521,322.97804386369995,7123.1775110277795,579.60715944366,1553.88396075118,,3.61956549,67.01399994,74.8887023925781,32.2288233408821,13.5,5.30715461269221,0.488
IND,Diabetes,2015,1442.5265020558354,41.35602542147998,330.93339290388997,7258.026240136071,592.81298102252,1583.99815907985,,3.59565973,64.66441345,74.6113662719727,32.5472990022299,14.89999962,5.46921307827757,0.417
IND,Diabetes,2016,1470.2574405166768,42.03378363014019,336.76265355967996,7356.760097037251,598.64645414787,1707.50892912243,,3.50430417,63.20619965,75.9372863769531,32.8650780972823,16.5,5.64173085340436,0.406
IND,Diabetes,2017,1513.532959385887,43.59238149003433,342.19557827716,7479.46116243083,604.04906744602,1950.10468280866,,2.93597651,55.11247635,74.6743774414062,33.1821328157539,18.20000076,5.8247052897296,0.371
IND,Diabetes,2018,1549.5849510302337,44.839030947715536,347.10802072836003,7601.349835858261,608.54801267943,1966.25455171679,,2.8584938,53.22994614,76.0025787353516,33.4984353473598,20.0813000379384,6.01925951437221,0.363
IND,Diabetes,2019,1599.3442294749732,47.13681179586815,351.37265600762,7697.58337888308,611.53740877894,2041.42863698585,,2.95299792,52.00421143,75.8716506958008,33.8139578818147,29.52350044,6.22347304109804,0.324
