year,gdp_per_capita,poverty_headcount,health_expenditure_gdp,out_of_pocket_health_exp,secondary_school_enrolment,urban_population_pct,internet_users_pct,population_65plus_pct
2016,1707.50892912243,,3.50430417,63.20619965,75.9372863769531,32.8650780972823,16.5,5.64173085340436
2017,1950.10468280866,,2.93597651,55.11247635,74.6743774414062,33.1821328157539,18.20000076,5.8247052897296
2018,1966.25455171679,,2.8584938,53.22994614,76.0025787353516,33.4984353473598,20.0813000379384,6.01925951437221
2019,2041.42863698585,,2.95299792,52.00421143,75.8716506958008,33.8139578818147,29.52350044,6.22347304109804
2020,1907.04251637669,,3.34146094,49.51094055,77.6271548412386,34.1286726088333,43.40544313,6.41685302336898
2021,2239.61384367482,,3.34680939,45.10914612,80.6246396728944,34.4425517181304,49.2580986,6.54579069268807
2022,2279.98145719369,,3.39623499,44.54133987,81.1778608399708,34.7555673994206,55.9,6.69899975408181
2023,2434.44826340989,,3.33944035,43.88510513,78.8639591218839,35.0676918424186,60.25230026,6.92184330138637
2024,2591.9916607122,,,,78.1058073224606,35.3788972368389,64.9434967,7.14651714039908
2025,2702.47987141553,,,,79.594985086469,35.689155772396,70.0,7.37657146047502
